"faceName","img1Name","img2Name","img3Name","intactImageLocation","isSeen","response_face_key_response","response_image_key_response"
"Low_Anger_Sad_Left_Male_Face.png","Low_Anger_Sad_Left_Male_Intact.png","Low_Anger_Sad_Left_Male_New.png","Low_Anger_Sad_Left_Male_Rearranged.png","1","DOĞRU","f","1"
"getimg_ai_img-EO45bcudRj0JvZd1UZ4do_new.png","-","-","-","1","YANLIŞ","j","1"
"Cong_Anger_Anger_Left_Fem_Face.png","Cong_Anger_Anger_Left_Fem_Rearranged.png","Cong_Anger_Anger_Left_Fem_New.png","Cong_Anger_Anger_Left_Fem_Intact.png","3","DOĞRU","f","3"
"Low_Anger_Fear_Right_Male_Face.png","Low_Anger_Fear_Right_Male_Rearranged.png","Low_Anger_Fear_Right_Male_Intact.jpeg","Low_Anger_Fear_Right_Male_New.png","2","DOĞRU","f","2"
"Cong_Sad_Sad_Right_Male_Face.png","Cong_Sad_Sad_Right_Male_Rearranged.png","Cong_Sad_Sad_Right_Male_Intact.png","Cong_Sad_Sad_Right_Male_New.png","2","DOĞRU","f","2"
"getimg_ai_img-9qDtbyuwqzwMYwDlqlvUU_new.png","-","-","-","1","YANLIŞ","j","2"
"getimg_ai_img-yeEwcLjIRZKgYu5xcmnxT_new.png","-","-","-","1","YANLIŞ","f","2"
"High_Disgust_Anger_Left_Fem_Face.png","High_Disgust_Anger_Left_Fem_New.png","High_Disgust_Anger_Left_Fem_Intact.png","High_Disgust_Anger_Left_Fem_Rearranged.png","2","DOĞRU","f","2"
"Low_Sad_Anger_Left_Male_Face.png","Low_Sad_Anger_Left_Male_Rearranged.png","Low_Sad_Anger_Left_Male_New.jpeg","Low_Sad_Anger_Left_Male_Intact.png","3","DOĞRU","j","2"
"getimg_ai_img-4pDjGxwnh9QR6cpLXOTmr_new.png","-","-","-","1","YANLIŞ","f","2"
"Cong_Disgust_Disgust_Right_Male_Face.png","Cong_Disgust_Disgust_Right_Male_New.png","Cong_Disgust_Disgust_Right_Male_Intact.png","Cong_Disgust_Disgust_Right_Male_Rearranged.png","2","DOĞRU","j","2"
"getimg_ai_img-m4xX22WodIqSGFdeSpucx_new.png","-","-","-","1","YANLIŞ","f","2"
"Cong_Anger_Anger_Left_Male_Face.png","Cong_Anger_Anger_Left_Male_New.png","Cong_Anger_Anger_Left_Male_Rearranged.png","Cong_Anger_Anger_Left_Male_Intact.jpeg","3","DOĞRU","j","2"
"getimg_ai_img-pkSRus6ZuMB1JL96I2RXZ_new.png","-","-","-","1","YANLIŞ","j","2"
"Cong_Disgust_Disgust_Left_Male_Face.png","Cong_Disgust_Disgust_Left_Male_Intact.png","Cong_Disgust_Disgust_Left_Male_New.png","Cong_Disgust_Disgust_Left_Male_Rearranged.jpeg","1","DOĞRU","j","2"
"Low_Anger_Sad_Right_Male_Face.png","Low_Anger_Sad_Right_Male_Intact.png","Low_Anger_Sad_Right_Male_Rearranged.jpeg","Low_Anger_Sad_Right_Male_New.png","1","DOĞRU","j","2"
"getimg_ai_img-1NrT8offzvPGmfIITpe2g_new.png","-","-","-","1","YANLIŞ","j","2"
"High_Sad_Disgust_Left_Male_Face.png","High_Sad_Disgust_Left_Male_Intact.jpeg","High_Sad_Disgust_Left_Male_New.png","High_Sad_Disgust_Left_Male_Rearranged.png","1","DOĞRU","j","2"
