"faceName","img1Name","img2Name","img3Name","intactImageLocation","isSeen","response_face_key_response","response_image_key_response"
"getimg_ai_img-UFpdh28yeoFWiYc6A2bgO_new.png","-","-","-","1","YANLIŞ","j","2"
"Low_Sad_Anger_Right_Male_Face.png","Low_Sad_Anger_Right_Male_Rearranged.png","Low_Sad_Anger_Right_Male_New.jpeg","Low_Sad_Anger_Right_Male_Intact.png","3","DOĞRU","f","3"
"High_Sad_Disgust_Right_Fem_Face.png","High_Sad_Disgust_Right_Fem_Intact.png","High_Sad_Disgust_Right_Fem_Rearranged.png","High_Sad_Disgust_Right_Fem_New.png","1","DOĞRU","j","3"
"getimg_ai_img-NtTvkEL1cWI2lkAxx0Kjf_new.png","-","-","-","1","YANLIŞ","j","3"
"Low_Anger_Sad_Right_Male_Face.png","Low_Anger_Sad_Right_Male_New.png","Low_Anger_Sad_Right_Male_Face_Intact.png","Low_Anger_Sad_Right_Male_Rearranged.jpeg","2","DOĞRU","j","3"
"Low_Anger_Sad_Right_Fem_Face.png","Low_Anger_Sad_Right_Fem_Rearranged.png","Low_Anger_Sad_Right_Fem_Intact.png","Low_Anger_Sad_Right_Fem_New.png","2","DOĞRU","f","2"
"Cong_Disgust_Disgust_Right_Fem_Face.png","Cong_Disgust_Disgust_Right_Fem_Intact.png","Cong_Disgust_Disgust_Right_Fem_New.png","Cong_Disgust_Disgust_Right_Fem_Rearranged.png","1","DOĞRU","j","2"
"getimg_ai_img-a4pNY5X7vlffYnvnIXSoy_new.png","-","-","-","1","YANLIŞ","f","2"
"Low_Anger_Fear_Left_Male_Face.png","Low_Anger_Fear_Left_Male_New.png","Low_Anger_Fear_Left_Male_Rearranged.jpeg","Low_Anger_Fear_Left_Male_Intact.jpeg","3","DOĞRU","j","2"
"High_Anger_Disgust_Right_Fem_Face.png","High_Anger_Disgust_Right_Fem_Rearranged.png","High_Anger_Disgust_Right_Fem_New.png","High_Anger_Disgust_Right_Fem_Intact.png","3","DOĞRU","f","3"
"getimg_ai_img-4w730ZlRGHKP9bH3EzfDm_new.png","-","-","-","1","YANLIŞ","j","3"
"Cong_Sad_Sad_Right_Male_Face.png","Cong_Sad_Sad_Right_Male_Intact.png","Cong_Sad_Sad_Right_Male_New.png","Cong_Sad_Sad_Right_Male_Rearranged.png","1","DOĞRU","j","3"
"Cong_Sad_Sad_Right_Fem_Face.png","Cong_Sad_Sad_Right_Fem_New.jpeg","Cong_Sad_Sad_Right_Fem_Intact.png","Cong_Sad_Sad_Right_Fem_Rearranged.png","2","DOĞRU","j","3"
"getimg_ai_img-IwB5JC9R2DjfhtIKnZTkp_new.png","-","-","-","1","YANLIŞ","j","3"
"getimg_ai_img-skYTktfNfJa6ifXaQJBHv_new.png","-","-","-","1","YANLIŞ","j","3"
"getimg_ai_img-QUBg26WPvJXmV6aeS1E8U_new.png","-","-","-","1","YANLIŞ","j","3"
"getimg_ai_img-YmVlE8nV03Zgn4a6TxIIp_new.png","-","-","-","1","YANLIŞ","j","3"
"getimg_ai_img-SbIvBUB2V3m28fvYcj6Hf_new.png","-","-","-","1","YANLIŞ","j","3"
"High_Disgust_Anger_Right_Male_Face.png","High_Disgust_Anger_Right_Male_New.png","High_Disgust_Anger_Right_Male_Rearranged.png","High_Disgust_Anger_Right_Male_Intact.png","3","DOĞRU","j","3"
"getimg_ai_img-QOQrQ63e4RxXL4nnrretg_new.png","-","-","-","1","YANLIŞ","j","3"
"Cong_Anger_Anger_Left_Male_Face.png","Cong_Anger_Anger_Left_Male_New.png","Cong_Anger_Anger_Left_Male_Intact.png","Cong_Anger_Anger_Left_Male_Rearranged.png","2","DOĞRU","j","3"
"getimg_ai_img-8eSYf49JkXRUoMt4pIpVZ_new.png","-","-","-","1","YANLIŞ","j","3"
